d,theta,xpu,ypu
40,91,21.190972491388557,60.493907806255649
45,91,21.103710459202137,65.493146282037600
50,91,21.016448427015721,70.492384757819565
55,91,20.929186394829305,75.491623233601530
60,91,20.841924362642885,80.490861709383466
65,91,20.754662330456469,85.490100185165431
40,92,20.493088880779847,60.475633080763828
45,92,20.318591397267340,65.472587215859306
50,92,20.144093913754837,70.469541350954785
55,92,19.969596430242330,75.466495486050263
60,92,19.795098946729823,80.463449621145742
65,92,19.620601463217319,85.460403756241220
40,93,19.795630499162122,60.445181390182952
45,93,19.533950717947402,65.438329063955820
50,93,19.272270936732681,70.431476737728701
55,93,19.010591155517957,75.424624411501554
60,93,18.748911374303237,80.417772085274436
65,93,18.487231593088516,85.410919759047303
40,94,19.098809799114871,60.402562010392970
45,94,18.750027430394244,65.390382261692082
50,94,18.401245061673617,70.378202512991209
55,94,18.052462692952989,75.366022764290335
60,94,17.703680324232362,80.353843015589462
65,94,17.354897955511735,85.341663266888574
40,95,18.402839038973564,60.347787923669820
45,95,17.967060325235273,65.328761414128550
50,95,17.531281611496983,70.309734904587287
55,95,17.095502897758692,75.290708395046011
60,95,16.659724184020401,80.271681885504734
65,95,16.223945470282111,85.252655375963457
40,96,17.707930218173743,60.280875814730933
45,96,17.185287901835476,65.253485291572304
50,96,16.662645585497206,70.226094768413674
55,96,16.140003269158939,75.198704245255044
60,96,15.617360952820668,80.171313722096414
65,96,15.094718636482401,85.143923198937770
40,97,17.014295012673990,60.201846065652887
45,97,16.404948295648254,65.164576823859491
50,97,15.795601578622517,70.127307582066095
55,97,15.186254861596778,75.090038340272713
60,97,14.576908144571041,80.052769098479331
65,97,13.967561427545302,85.015499856685935
40,98,16.322144710477282,60.110722749662813
45,98,15.626279205676953,65.062063093370668
50,98,14.930413700876628,70.013403437078523
55,98,14.234548196076300,74.964743780786364
60,98,13.538682691275973,79.916084124494219
65,98,12.842817186475648,84.867424468202074
40,99,15.631690147270653,60.007533623805507
45,99,14.849517822069499,64.945975326781195
50,99,14.067345496868345,69.884417029756889
55,99,13.285173171667189,74.822858732732570
60,99,12.503000846466035,79.761300435708250
65,99,11.720828521264879,84.699742138683945
40,100,14.943141642202665,59.892310120488318
45,100,14.074900753868011,64.816348885549360
50,100,13.206659865533359,69.740387650610401
55,100,12.338418977198705,74.664426415671443
60,100,11.470178088864051,79.588465180732484
65,100,10.601937200529399,84.512503945793526
