h,s,t,z1,r/2,thetaWheel_1,thetaWheel_2,thetaWheel_3,thetaWheel_4,thetaWheel_5,thetaWheel_6,thetaWheel_7,thetaWheel_8,thetaWheel_9,thetaWheel_10,thetaWheel_11,thetaWheel_12,thetaWheel_13,thetaWheel_14,thetaWheel_15,thetaWheel_16,thetaWheel_17,thetaWheel_18,thetaWheel_19,thetaWheel_20,thetaWheel_21,thetaWheel_22,thetaWheel_23,thetaWheel_24,thetaWheel_25,thetaWheel_26,thetaWheel_27,thetaWheel_28,thetaWheel_29,thetaWheel_30,thetaWheel_31,thetaWheel_32,thetaWheel_33,thetaWheel_34,thetaWheel_35,thetaWheel_36,thetaWheel_37,thetaWheel_38,thetaWheel_39,thetaWheel_40,thetaWheel_41,thetaWheel_42,thetaWheel_43,thetaWheel_44,thetaWheel_45
60,30,50,60,30,0.547597,0.841093,1.11932,1.3823,1.63008,1.86266,2.08007,2.28232,2.46942,2.64138,2.79822,2.93994,3.06658,3.17813,3.27464,3.35612,3.42263,3.47419,3.51087,3.53273,3.53984,3.53229,3.51016,3.47358,3.42266,3.35754,3.27839,3.18535,3.07864,2.95844,2.82499,2.67852,2.5193,2.34762,2.16377,1.96809,1.76091,1.54261,1.31357,1.07422,0.824978,0.566309,0.298689,0.0226183,-0.26138
70,30,50,60,30,0.547597,0.88853,1.20872,1.50824,1.78715,2.04549,2.28327,2.5005,2.69719,2.87331,3.02886,3.16382,3.27816,3.37185,3.44488,3.49723,3.52888,3.53984,3.53009,3.49965,3.44856,3.37685,3.28457,3.1718,3.03864,2.88519,2.71159,2.51801,2.30463,2.07168,1.81938,1.54803,1.25793,0.94942,0.622879,0.278721,-0.0826032,-0.460605,-0.854756,-1.26449,-1.6892,-2.12823,-2.58091,-3.0465,-3.52423
60,25,50,60,35,0.60332,0.926922,1.23388,1.52422,1.79798,2.05516,2.29579,2.51987,2.7274,2.91839,3.09283,3.25072,3.39207,3.51688,3.62517,3.71694,3.79222,3.85103,3.89342,3.91943,3.92912,3.92256,3.89983,3.86103,3.80627,3.73568,3.64941,3.54762,3.43048,3.29822,3.15104,2.98921,2.81297,2.62263,2.4185,2.20093,1.97027,1.72691,1.47128,1.20382,0.924993,0.635295,0.335248,0.0253999,-0.293677
70,25,50,60,35,0.60332,0.979243,1.33256,1.66334,1.97164,2.2575,2.52092,2.76191,2.98043,3.17645,3.34994,3.50085,3.62912,3.7347,3.81753,3.87756,3.91474,3.92902,3.92037,3.88877,3.83419,3.75665,3.65616,3.53276,3.3865,3.21747,3.02577,2.81154,2.57493,2.31614,2.0354,1.73296,1.40913,1.06425,0.698678,0.312849,-0.0927797,-0.5177,-0.961358,-1.42316,-1.90244,-2.39853,-2.91066,-3.43806,-3.97987
60,20,50,60,40,0.671649,1.03222,1.37448,1.69849,2.00427,2.29183,2.56117,2.81229,3.04519,3.25985,3.45625,3.63439,3.79423,3.93576,4.05898,4.16388,4.25044,4.31868,4.36861,4.40025,4.41363,4.40881,4.38583,4.34479,4.28576,4.20886,4.11421,4.00196,3.87229,3.72538,3.56145,3.38074,3.18352,2.97008,2.74074,2.49586,2.2358,1.96098,1.67184,1.36886,1.05253,0.723383,0.381995,0.0289616,-0.335087
70,20,50,60,40,0.671649,1.09054,1.48457,1.85384,2.19841,2.51828,2.81347,3.08394,3.32966,3.55055,3.74655,3.91756,4.0635,4.18425,4.27972,4.3498,4.39439,4.41339,4.40671,4.37425,4.31596,4.23177,4.12164,3.98554,3.82349,3.63549,3.42161,3.18192,2.91653,2.62559,2.30928,1.96782,1.60148,1.21057,0.795437,0.35649,-0.105817,-0.590978,-1.09843,-1.62756,-2.17769,-2.74808,-3.33795,-3.94644,-4.57264
60,15,50,60,45,0.7574,1.16442,1.55112,1.91755,2.26374,2.5897,2.89542,3.18089,3.44609,3.69099,3.91554,4.1197,4.30342,4.46667,4.60939,4.73154,4.83309,4.91399,4.97424,5.0138,5.03267,5.03087,5.0084,4.96532,4.90166,4.81751,4.71296,4.58811,4.44312,4.27814,4.09337,3.88902,3.66534,3.42262,3.16115,2.88129,2.58342,2.26796,1.93535,1.58609,1.2207,0.839759,0.443871,0.033685,-0.39011
70,15,50,60,45,0.7574,1.23029,1.67558,2.09339,2.48376,2.84671,3.18223,3.49027,3.77074,4.02354,4.24856,4.44564,4.61463,4.75537,4.86768,4.95138,5.00628,5.03221,5.02899,4.99643,4.93438,4.84268,4.72119,4.56979,4.38839,4.17691,3.93529,3.66352,3.36162,3.02963,2.66765,2.27582,1.8543,1.40334,0.923216,0.414264,-0.123119,-0.688473,-1.28128,-1.90095,-2.54682,-3.21817,-3.91421,-4.63404,-5.37674
60,10,50,60,50,0.868192,1.33532,1.7796,2.20109,2.59983,2.97584,3.32909,3.65957,3.96722,4.25198,4.5138,4.75258,4.96824,5.1607,5.32984,5.47559,5.59783,5.6965,5.77149,5.82273,5.85015,5.85368,5.8333,5.78895,5.72063,5.62834,5.51211,5.37199,5.20805,5.02039,4.80914,4.57446,4.31654,4.03563,3.73197,3.40587,3.05769,2.68781,2.29665,1.88471,1.4525,1.00059,0.529619,0.0402489,-0.466792
70,10,50,60,50,0.868192,1.41096,1.9227,2.40355,2.85356,3.27277,3.66112,4.01853,4.34489,4.64002,4.90375,5.13585,5.33607,5.50416,5.63983,5.74279,5.81272,5.84933,5.85229,5.82128,5.75598,5.65609,5.52131,5.35134,5.14591,4.90477,4.62768,4.31444,3.96488,3.57885,3.15626,2.69703,2.20117,1.6687,1.09971,0.494343,-0.147188,-0.824613,-1.53759,-2.28571,-3.06848,-3.88533,-4.73561,-5.61858,-6.53341
