h,t,r/2,zr,cx,cz,thetaWheel_-10,thetaWheel_-9,thetaWheel_-8,thetaWheel_-7,thetaWheel_-6,thetaWheel_-5,thetaWheel_-4,thetaWheel_-3,thetaWheel_-2,thetaWheel_-1,thetaWheel_0,thetaWheel_1,thetaWheel_2,thetaWheel_3,thetaWheel_4,thetaWheel_5,thetaWheel_6,thetaWheel_7,thetaWheel_8,thetaWheel_9,thetaWheel_10
50,83.5,10,-32.116,-8,-16,-45.3956,-45.2472,-45.096,-38.5096,-27.6676,-21.177,-15.9677,-11.4401,-7.34767,-3.56047,0,3.38544,6.63212,9.76667,12.8094,15.7763,18.6801,21.5315,24.3394,27.1113,29.854
50,84,10,-34.5331,-8,-16,-44.1352,-43.978,-43.8179,-43.6548,-29.3057,-22.0039,-16.4512,-11.7267,-7.5053,-3.62726,0,3.43582,6.72097,9.88491,12.9498,15.933,18.8481,21.7064,24.5172,27.2885,30.0271
50,84.5,10,-36.6815,-8,-16,-43.0309,-42.8663,-42.6986,-42.5278,-31.2274,-22.8416,-16.9196,-11.998,-7.65242,-3.68899,0,3.48175,6.80157,9.99174,13.0763,16.0736,18.9984,21.8624,24.6754,27.4457,30.1803
50,85,10,-38.6379,-8,-16,-42.0389,-41.8678,-41.6935,-41.5161,-33.7999,-23.7153,-17.3833,-12.2603,-7.79263,-3.74725,0,3.52455,6.87634,10.0904,13.1927,16.2027,19.1359,22.0048,24.8195,27.5886,30.3192
50,85.5,10,-40.4484,-8,-16,-41.1327,-40.9558,-40.7757,-40.5924,-40.4059,-24.6502,-17.8497,-12.5175,-7.92812,-3.803,0,3.56502,6.94671,10.183,13.3015,16.323,19.2638,22.1369,24.9529,27.7205,30.4473
50,86,10,-42.1434,-8,-16,-40.2948,-40.1128,-39.9275,-39.739,-39.5471,-25.6785,-18.3246,-12.7722,-8.06032,-3.8569,0,3.60366,7.01364,10.2707,13.4043,16.4364,19.3841,22.2608,25.0777,27.8438,30.5668
50,86.5,10,-43.7439,-8,-16,-39.5131,-39.3264,-39.1364,-38.9431,-38.7465,-26.8486,-18.8133,-13.0264,-8.19028,-3.90937,0,3.64084,7.07778,10.3545,13.5022,16.5441,19.498,22.3781,25.1956,27.9601,30.6792
50,87,10,-45.2656,-8,-16,-38.7786,-38.5877,-38.3933,-38.1957,-37.9947,-28.2475,-19.3211,-13.2818,-8.31879,-3.96076,-2.54444e-14,3.67684,7.13963,10.435,13.5961,16.6471,19.6068,22.4897,25.3077,28.0704,30.7857
50,87.5,10,-46.7201,-8,-16,-38.0845,-37.8896,-37.6914,-37.4898,-37.2847,-30.0778,-19.854,-13.5399,-8.44645,-4.0113,0,3.71184,7.19955,10.5128,13.6865,16.7461,19.7111,22.5966,25.4148,28.1756,30.8871
50,88,10,-48.1166,-8,-16,-37.4255,-37.227,-37.0252,-36.8199,-36.6112,-33.2249,-20.4188,-13.8019,-8.57377,-4.06122,2.54444e-14,3.74601,7.25781,10.5882,13.7739,16.8416,19.8115,22.6994,25.5176,28.2764,30.9842
