h,t,r/2,zr,cx,cz,thetaWheel_-25,thetaWheel_-24,thetaWheel_-23,thetaWheel_-22,thetaWheel_-21,thetaWheel_-20,thetaWheel_-19,thetaWheel_-18,thetaWheel_-17,thetaWheel_-16,thetaWheel_-15,thetaWheel_-14,thetaWheel_-13,thetaWheel_-12,thetaWheel_-11,thetaWheel_-10,thetaWheel_-9,thetaWheel_-8,thetaWheel_-7,thetaWheel_-6,thetaWheel_-5,thetaWheel_-4,thetaWheel_-3,thetaWheel_-2,thetaWheel_-1,thetaWheel_0,thetaWheel_1,thetaWheel_2,thetaWheel_3,thetaWheel_4,thetaWheel_5,thetaWheel_6,thetaWheel_7,thetaWheel_8,thetaWheel_9,thetaWheel_10,thetaWheel_11,thetaWheel_12,thetaWheel_13,thetaWheel_14,thetaWheel_15,thetaWheel_16,thetaWheel_17,thetaWheel_18,thetaWheel_19,thetaWheel_20,thetaWheel_21,thetaWheel_22,thetaWheel_23,thetaWheel_24,thetaWheel_25
10,72,57,-81.9322,-14,-16,11.2633,11.3468,11.4311,11.5161,11.6019,11.6885,11.7757,11.8636,11.9522,12.0414,12.1312,12.2215,12.3125,12.4039,12.4959,12.5883,10.1909,7.69134,6.12312,4.8896,3.84539,2.92747,2.10169,1.34712,0.649831,0,-0.609607,-1.18449,-1.72897,-2.24647,-2.73979,-3.21126,-3.66281,-4.0961,-4.51252,-4.91331,-5.29952,-5.67209,-6.03184,-6.37951,-6.71576,-7.04116,-7.35626,-7.66155,-7.95745,-8.24437,-8.52269,-8.79274,-9.05484,-9.30927,-9.55632
10,93,46,-101.46,-15,-17,11.6026,11.6701,11.7383,11.8071,11.8764,11.9463,12.0168,12.0878,12.1593,12.2312,12.3037,12.3765,12.4498,12.5235,12.5976,12.672,10.248,7.76906,6.20035,4.96103,3.90826,2.97995,2.14245,1.37512,0.664197,-1.27222e-13,-0.624612,-1.21507,-1.77562,-2.30966,-2.81994,-3.30874,-3.77799,-4.22929,-4.66404,-5.08342,-5.48849,-5.88016,-6.25923,-6.62642,-6.98237,-7.32765,-7.66279,-7.98825,-8.30445,-8.61179,-8.91062,-9.20126,-9.48402,-9.75918,-10.027
10,73,55,-83.5822,-15,-17,10.9631,11.0441,11.1258,11.2083,11.2915,11.3754,11.4599,11.5452,11.631,11.7175,11.8046,11.8922,11.9803,12.069,12.1581,12.2477,9.85547,7.45818,5.94166,4.74653,3.73387,2.84314,2.04149,1.30872,0.631392,-2.54444e-14,-0.592442,-1.15126,-1.68062,-2.18384,-2.66365,-3.12229,-3.56163,-3.98327,-4.38857,-4.77873,-5.15476,-5.51758,-5.86797,-6.20666,-6.53428,-6.85139,-7.15853,-7.45614,-7.74467,-8.0245,-8.29599,-8.55947,-8.81524,-9.06358,-9.30476
10,72,60,-82.7741,-13,-16,11.016,11.1016,11.1881,11.2753,11.3633,11.452,11.5415,11.6316,11.7224,11.8138,11.9059,11.9985,12.0916,12.1854,12.2796,12.3743,10.0687,7.5742,6.02278,4.8056,3.77689,2.87369,2.06203,1.32108,0.636985,0,-0.597058,-1.15965,-1.69206,-2.19769,-2.67932,-3.13925,-3.57941,-4.00144,-4.40672,-4.79648,-5.17178,-5.53353,-5.88256,-6.21959,-6.54529,-6.86024,-7.16497,-7.45996,-7.74566,-8.02246,-8.29073,-8.55081,-8.80303,-9.04767,-9.28499
10,94,49,-103.442,-14,-17,11.4055,11.474,11.5432,11.6129,11.6833,11.7542,11.8257,11.8976,11.9701,12.0431,12.1165,12.1904,12.2647,12.3394,12.4145,12.4899,10.1901,7.69114,6.13039,4.90132,3.85906,2.94109,2.11368,1.35618,0.654841,5.08889e-14,-0.61546,-1.19695,-1.7487,-2.27408,-2.77584,-3.25626,-3.71723,-4.16037,-4.58705,-4.99847,-5.39566,-5.77954,-6.1509,-6.51046,-6.85885,-7.19666,-7.52439,-7.84251,-8.15145,-8.45159,-8.74329,-9.02688,-9.30265,-9.57088,-9.83184
10,87,52,-97.1109,-14,-17,11.2332,11.3059,11.3794,11.4535,11.5282,11.6035,11.6794,11.7559,11.8329,11.9105,11.9885,12.067,12.146,12.2254,12.3052,12.3854,9.96361,7.5562,6.02708,4.8194,3.79435,2.89137,2.07756,1.33271,0.643363,2.54444e-14,-0.604377,-1.1751,-1.71634,-2.23143,-2.72309,-3.19355,-3.64471,-4.07816,-4.49526,-4.89719,-5.28499,-5.65956,-6.02168,-6.37209,-6.71139,-7.04018,-7.35896,-7.66819,-7.9683,-8.25968,-8.54267,-8.81762,-9.08482,-9.34454,-9.59705
10,99,45,-108.59,-15,-18,11.2256,11.2902,11.3555,11.4213,11.4876,11.5545,11.6219,11.6898,11.7582,11.827,11.8963,11.9659,12.036,12.1064,12.1772,12.2483,9.99613,7.54905,6.01946,4.8142,3.79157,2.89043,2.0778,1.33347,0.644027,-7.63333e-14,-0.605562,-1.17795,-1.72129,-2.2389,-2.73345,-3.20716,-3.66189,-4.09922,-4.52048,-4.92685,-5.31934,-5.69883,-6.0661,-6.42187,-6.76673,-7.10126,-7.42595,-7.74126,-8.04761,-8.34536,-8.63487,-8.91645,-9.1904,-9.45698,-9.71644
10,92,48,-102.263,-15,-18,11.0327,11.1011,11.1702,11.2398,11.31,11.3808,11.4522,11.524,11.5964,11.6693,11.7426,11.8164,11.8906,11.9652,12.0401,12.1155,9.9945,7.50361,5.97311,4.7722,3.75558,2.86119,2.05566,1.31863,0.636575,0,-0.598078,-1.16297,-1.69881,-2.20891,-2.69596,-3.16219,-3.60944,-4.03931,-4.45313,-4.85207,-5.23715,-5.60925,-5.96917,-6.31758,-6.65513,-6.98237,-7.29979,-7.60787,-7.907,-8.19758,-8.47995,-8.75443,-9.0213,-9.28085,-9.53332
10,83,52,-94.188,-15,-18,10.8303,10.9043,10.9789,11.0543,11.1303,11.2069,11.2841,11.3619,11.4402,11.5191,11.5985,11.6784,11.7587,11.8395,11.9207,12.0023,9.51452,7.25259,5.79082,4.63225,3.64756,2.77963,1.99723,1.28111,0.618402,0,-0.58081,-1.12915,-1.64902,-2.14363,-2.61561,-3.0671,-3.49992,-3.91562,-4.31551,-4.70073,-5.07228,-5.43102,-5.77773,-6.1131,-6.43774,-6.7522,-7.05697,-7.35252,-7.63924,-7.91753,-8.18771,-8.45011,-8.70502,-8.95271,-9.19343
10,75,62,-86.375,-12,-16,10.8547,10.9399,11.0258,11.1125,11.1999,11.2881,11.377,11.4665,11.5566,11.6474,11.7388,11.8307,11.9232,12.0162,12.1097,12.2036,9.80272,7.41091,5.89875,4.70846,3.70116,2.81624,2.0208,1.29461,0.624182,-5.08889e-14,-0.58495,-1.13601,-1.65736,-2.15236,-2.62371,-3.07368,-3.50417,-3.91676,-4.31285,-4.69363,-5.06012,-5.41326,-5.75383,-6.08257,-6.40012,-6.70705,-7.0039,-7.29113,-7.56918,-7.83846,-8.09932,-8.3521,-8.59712,-8.83466,-9.065
